dataset_contributors,publication_authors
"Hedfalk,K. and Blomberg,A. ","Lind,U., Hedfalk,K. and Blomberg,A. "
dataset_contributors,publication_authors
"Wrange,A.L.","Kamdal,E., Sundell,K., Andre,C., and Jonsson,P.R."
dataset_contributors,publication_authors
"Havenhand,J. and Eriksson,L.A.","Havenhand,J. and Eriksson,L.A."
