authorID,name
3009116,Victor A. Albert
3012882,Sumio  Sugano
3028990,Susumu  Hyodo
3037303,David G.  Heckel
3062598,Yuko  Ohta
3069199,Asao  Fujiyama
3079495,Robert F. Siliciano
3079878,Maximilian J. Telford
3092707,Beatrice H.  Hahn
3105074,Kiyoshi  Kikuchi
3111535,Robert D. Adlard
3120511,Jörg  Bohlmann
3120734,Robert K.  Jansen
3130198,Stefan M. Sievert
3144323,Pamela S.  Soltis
3168557,Stephen D. Bentley
3170379,Michael R. Gillings
3171213,Yuji  Nagata
3176927,Yoshitaka  Nagahama
3186927,Helen  Skaletsky
3198691,Mark S.  Springer
3216012,Saneyoshi  Ueno
3223403,Toshihiko  Shiroishi
3250839,Sylvain  Moineau
3290751,Toyoko  Nakagomi
3292195,Mark  Stoneking
3317481,Claudio  Bandi
3338955,Yoshiaki  Kawamura
3343185,Tomoaki  Nishiyama
3473527,Rod A.  Wing
3474242,Robert C. Fleischer
3484111,Pierre  Taberlet
3498959,Kiwamu  Minamisawa
3501679,Mami  Yamazaki
3505056,Jens Christian Frisvad
3519942,Peter  Kuhnert
3521478,Seiji  Hongo
3529067,Corinne  Cruaud
3535433,Leslie R. Noble
3538272,Kazuhide  Kimbara
3543352,Kathleen M.  Pryer
3545417,Antoine  Gessain
3545756,Kenneth M.  Cameron
3555219,Delphine  Girlich
3563537,Carol D.  von Dohlen
3572865,Virginia P. Edgcomb
3574748,Sergey V. Netesov
3581039,BRUCE S.  SEAL
3581073,David M.  Hillis
3591412,Ikuo  Hirono
3595885,RALPH E.  HARBACH
3603726,Naruo  Nikoh
3614622,Héctor  Escrivà
3614934,Steven R. Meshnick
3625335,David R. Arahal
3625711,Masato  Kinoshita
3627549,Sándor  Belák
3630009,Xavier  de Lamballerie
3634236,Edgar  Maiss
3642568,Dominique  Sanglard
3653675,Daniela  Alioto
3656305,Marc S. Marenda
3670026,Paul R. Langford
3674214,Antonín  Stratil
3674272,Jorge  Dubcovsky
3686344,Donald H.  Pfister
3693105,Kiyotaka  Takishita
3698704,Bernhard  Ehlers
3699852,Valérie  Barbe
3707960,Florian  Liégeois
3720791,Nicole  Léger
3731135,Tsutomu  Sekizaki
3732179,Flor Helene Pujol
3745223,Jon  Fjeldså
3745569,Jean-Nicolas  Volff
3750309,Antonio  Lavazza
3751542,Shinichi  Takaichi
3762553,Kunitoshi  Imai
3782760,Justin D. Faris
3783275,Pieter  van West
3783493,Tristan  Barbeyron
3790155,Hector Nicolas Seuánez
