"","author_id","name_initial","name","num_ssid_1997","num_ssid_1998","num_ssid_1999","num_ssid_2000","num_ssid_2001","num_ssid_2002","num_ssid_2003","num_ssid_2004","num_ssid_2005","num_ssid_2006","num_ssid_2007","num_ssid_2008","num_ssid_2009","num_ssid_2010","num_ssid_2011","num_ssid_2012","num_ssid_2013","num_ssid_2014","num_ssid_2015","num_ssid_2016","num_ssid_2017"
"41",1874472,"Postlethwait,J.H.","John H.  Postlethwait",NA,5,3,1,9,7,9,9,8,2,5,1,2,6,3,1,7,2,NA,1,1
"42",1880360,"Takashima,M.","Masako  Takashima",NA,2,2,5,10,6,4,6,4,2,1,NA,1,3,2,3,NA,3,3,NA,2
"43",1881190,"Nielsen,P.H.","Per Halkjaer  Nielsen",NA,NA,1,NA,NA,1,1,1,2,5,8,2,1,NA,6,7,5,5,4,1,2
"44",1885657,"Boyle,D.B.","David B. Boyle",4,NA,1,NA,1,NA,1,2,3,NA,1,2,1,NA,NA,3,NA,2,1,NA,2
"45",1887748,"Rohde,M.","Manfred  Rohde",NA,2,3,1,5,4,5,6,4,7,2,3,17,51,41,18,19,9,8,8,10
"46",1912975,"Tozawa,Y.","Yuzuru  Tozawa",2,1,NA,NA,1,1,NA,2,1,2,2,1,1,NA,3,NA,NA,2,2,NA,NA
"47",1915637,"Nuss,D.L.","Donald. L. Nuss",1,2,3,1,NA,NA,2,1,1,1,3,2,2,2,3,1,NA,2,1,NA,NA
"48",1930281,"Kaneko,T.","Takakazu  Kaneko",4,5,2,12,3,9,9,NA,8,1,4,5,5,2,4,5,2,NA,2,NA,2
"49",1932379,"Barnwell,J.W.","John W. Barnwell",NA,NA,5,1,2,6,1,4,5,NA,1,3,4,5,NA,5,4,1,2,3,NA
"50",1939517,"Gill,B.S.","Bikram S. Gill",1,1,NA,NA,1,7,3,4,3,6,NA,2,1,3,2,1,2,3,NA,2,1
"51",1940158,"Sugiyama,J.","Junta  Sugiyama",5,2,4,2,1,2,NA,2,NA,2,NA,2,3,NA,1,2,1,NA,2,3,4
"52",1942713,"Ebel,G.D.","Gregory D.  Ebel",NA,NA,1,NA,2,1,NA,2,3,NA,1,1,1,1,1,NA,1,NA,2,2,NA
"53",1942947,"Okamoto,H.","Hiroaki  Okamoto",3,3,4,8,4,6,7,10,12,7,15,5,11,6,5,5,7,9,9,5,8
"54",1950352,"van Sinderen,D.","Douwe  van Sinderen",5,NA,1,5,2,4,3,4,10,13,6,2,5,3,5,1,6,9,4,2,5
"55",1950529,"Henrissat,B.","Bernard  Henrissat",NA,3,NA,4,1,NA,NA,NA,2,NA,7,12,14,14,12,17,5,8,4,2,2
"56",1961140,"Hellemans,B.","Bart  Hellemans",NA,NA,2,NA,NA,1,3,4,NA,1,1,1,2,NA,NA,2,1,1,1,NA,NA
"57",1966304,"Medigue,C.","Claudine  Médigue",2,NA,NA,NA,NA,1,4,2,1,3,8,5,6,7,6,5,7,3,NA,1,NA
